volatile_acidity,sulphates,citric_acid,alcohol,quality
0.39,0.84,0.44,11.5,6
0.31,0.85,0.41,11.4,6
0.61,0.66,0.11,10.9,6
0.66,0.78,0.33,12.8,6
0.725,0.54,0.2,9.2,5
0.55,0.82,0.15,11.6,6
0.74,0.56,0.09,11.6,6
0.51,0.75,0.13,11,6
0.62,0.82,0.08,9.5,6
0.6,0.58,0.08,10.5,5
0.55,0.76,0.1,11.2,6
0.51,0.75,0.13,11,6
0.645,0.71,0.12,10.2,5
0.31,0.66,0.47,11,6
